,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
"('9_census', 0.25, 3)",0.017022132873535156,0.6716549396514893,0.005856037139892578,0.03775954246520996,0.0027909278869628906,0.0018551349639892578,0.4209764003753662,0.018859386444091797,0.6550636291503906
"('9_census', 0.5, 1)",0.014896154403686523,0.7851393222808838,0.004444122314453125,0.04223895072937012,0.002539396286010742,0.0020971298217773438,0.3685135841369629,0.027304410934448242,0.6515212059020996
"('9_census', 0.5, 2)",0.014861583709716797,0.7512116432189941,0.0064656734466552734,0.04211544990539551,0.002984285354614258,0.0018672943115234375,0.3841116428375244,0.021657943725585938,0.6482663154602051
"('9_census', 0.5, 3)",0.015067338943481445,0.9935050010681152,0.003121614456176758,0.03942060470581055,0.0025920867919921875,0.0026712417602539062,0.4215552806854248,0.021740436553955078,0.6545617580413818
"('9_census', 0.75, 1)",0.016247987747192383,0.914008617401123,0.008465766906738281,0.045618295669555664,0.0024445056915283203,0.002946615219116211,0.36388516426086426,0.01963067054748535,0.6685085296630859
"('9_census', 0.75, 2)",0.013656377792358398,1.2576146125793457,0.0030374526977539062,0.0431516170501709,0.002875089645385742,0.002299785614013672,0.36699414253234863,0.020623445510864258,0.6564197540283203
"('9_census', 0.75, 3)",0.01502370834350586,0.960752010345459,0.0063321590423583984,0.04430532455444336,0.0026612281799316406,0.0018703937530517578,0.3659381866455078,0.01944589614868164,0.6544103622436523
"('9_census', 1.0, 1)",0.017038822174072266,1.236137866973877,0.002888917922973633,0.04432392120361328,0.0028543472290039062,0.002080678939819336,0.45485687255859375,0.018960952758789062,0.6529994010925293
"('9_census', 1.0, 2)",0.015154361724853516,1.0629353523254395,0.006458282470703125,0.05364823341369629,0.0029592514038085938,0.001943826675415039,0.451826810836792,0.023644685745239258,0.644411563873291
"('9_census', 1.0, 3)",0.01336216926574707,0.988349437713623,0.005353212356567383,0.04389381408691406,0.0030698776245117188,0.002193927764892578,0.37119054794311523,0.025333166122436523,0.6602554321289062
"('5_campaign', 0.0, 1)",,,0.0015172958374023438,,0.0012981891632080078,,,,
"('5_campaign', 0.0, 2)",,,0.002384662628173828,,0.0014109611511230469,,,,
"('5_campaign', 0.0, 3)",,,0.00186920166015625,,0.0011942386627197266,,,,
"('5_campaign', 0.01, 1)",0.0021543502807617188,0.01836705207824707,0.0015399456024169922,0.01656818389892578,0.0021119117736816406,0.0012054443359375,0.04147458076477051,0.017687082290649414,0.10264825820922852
"('5_campaign', 0.01, 2)",0.002238750457763672,0.01666736602783203,0.002105236053466797,0.016714096069335938,0.0025818347930908203,0.001196146011352539,0.04531145095825195,0.018985986709594727,0.08551859855651855
"('5_campaign', 0.01, 3)",0.002457857131958008,0.019697904586791992,0.0014154911041259766,0.017183542251586914,0.0019636154174804688,0.001209259033203125,0.04432225227355957,0.019097089767456055,0.09060955047607422
